"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir90-2007-Pass2-Tron1-Chiro_0_00049_981"	"noise"	0.1	0.5	133	0.646	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.04	0	0.006	0.01	0.008	0.106	0	0.008	0.004	0.008	0.078	0.004	0	0.006	0	0	0	0.04	0	0	0	0.002	0	0	0	0.01	0	0.006	0.01	0.014	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.712655882836711	""	""	1	849.981	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00054_979"	"noise"	0	0.5	141	0.744	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.004	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.39	0	0.002	0.046	0	0.004	0.008	0.008	0.092	0	0.014	0.004	0.006	0.084	0.004	0	0.01	0	0	0	0.036	0	0	0	0	0	0	0	0.008	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.39	0.708284872326565	""	""	1	854.979	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00059_977"	"noise"	0	0.5	101	0.564	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.012	0	0	0.006	0	0	0.002	0	0.028	0	0.39	0	0.002	0.036	0	0.008	0.012	0.008	0.1	0	0.004	0.004	0.01	0.068	0.006	0	0.006	0	0	0	0.026	0	0	0	0.002	0	0	0	0.026	0	0.014	0.01	0.016	0.006	0.004	0.01	0.004	0.05	0	0	0	0.002	0	0	0.002	"noise"	0.39	0.708284872326565	""	""	1	859.977	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00064_975"	"noise"	0	0.5	131	0.63	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.006	0	0.012	0	0	0.004	0	0	0.002	0	0.028	0	0.39	0	0.002	0.042	0	0.008	0.012	0.008	0.106	0	0.004	0.004	0.008	0.078	0.004	0	0.006	0	0	0	0.036	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.39	0.708284872326565	""	""	1	864.975	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00069_973"	"noise"	0	0.5	152	0.672	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.026	0	0.378	0	0.002	0.048	0	0.004	0.008	0.008	0.116	0	0.008	0.004	0.006	0.088	0.004	0	0.008	0	0	0	0.042	0	0	0	0.002	0	0	0	0.01	0	0.006	0.01	0.016	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.378	0.681260698390007	""	""	1	869.973	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00074_971"	"noise"	0	0.5	149	0.61	"Myonat"	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0	0	0	0.006	0	0.012	0	0	0.004	0	0	0.002	0	0.026	0	0.384	0	0.002	0.046	0	0.01	0.012	0.008	0.112	0	0.004	0.004	0.008	0.08	0.004	0	0.006	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.008	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.384	0.694940645727435	""	""	1	874.971	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00079_970"	"noise"	0.2	0.5	204	0.768	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0.002	0	0.004	0	0.008	0	0	0.004	0	0	0	0	0.026	0	0.382	0	0.002	0.044	0	0.002	0.01	0.008	0.076	0	0.02	0.004	0.006	0.08	0.004	0	0.008	0	0	0	0.036	0	0	0	0	0	0	0	0.008	0	0.008	0.01	0.018	0.006	0.004	0.01	0.004	0.052	0	0	0	0.002	0	0	0.002	"noise"	0.382	0.69041721925467	""	""	1	879.97	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00084_968"	"noise"	0	0.5	116	0.686	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.394	0	0.002	0.04	0	0.004	0.008	0.008	0.104	0	0.008	0.004	0.006	0.086	0.004	0	0.008	0	0	0	0.038	0	0	0	0.002	0	0	0	0.01	0	0.01	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.394	0.716987568773077	""	""	1	884.968	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00089_966"	"noise"	0	0.5	149	0.664	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0	0.002	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.026	0	0.376	0	0.002	0.046	0	0.006	0.008	0.008	0.116	0	0.006	0.004	0.008	0.084	0.004	0	0.008	0	0	0	0.042	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.016	0.006	0.004	0.01	0.004	0.046	0	0	0	0.002	0	0	0.002	"noise"	0.376	0.676628814336669	""	""	1	889.966	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00094_964"	"noise"	0	0.5	132	0.682	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.044	0	0.004	0.008	0.008	0.11	0	0.008	0.004	0.006	0.084	0.004	0	0.008	0	0	0	0.038	0	0	0	0.002	0	0	0	0.008	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.712655882836711	""	""	1	894.964	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00099_962"	"noise"	0	0.5	130	0.672	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.044	0	0.004	0.008	0.008	0.11	0	0.008	0.004	0.006	0.082	0.004	0	0.008	0	0	0	0.038	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.712655882836711	""	""	1	899.962	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00104_960"	"noise"	0	0.5	119	0.702	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.394	0	0.002	0.044	0	0.004	0.008	0.008	0.1	0	0.01	0.004	0.006	0.086	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.394	0.716987568773077	""	""	1	904.96	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00109_958"	"noise"	0	0.4	204	0.772	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.002	0	0.004	0	0.008	0	0	0.004	0	0	0	0	0.026	0	0.38	0	0.002	0.044	0	0.002	0.01	0.008	0.084	0	0.014	0.004	0.006	0.078	0.004	0	0.008	0	0	0	0.034	0	0	0	0	0	0	0	0.008	0	0.008	0.01	0.018	0.006	0.004	0.01	0.004	0.052	0	0	0	0.002	0	0	0.002	"noise"	0.38	0.685857039399756	""	""	1	909.958	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00114_956"	"noise"	0	0.5	112	0.652	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.042	0	0.008	0.01	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.703874999496456	""	""	1	914.956	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00119_954"	"noise"	0	0.5	114	0.648	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.042	0	0.008	0.01	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.703874999496456	""	""	1	919.954	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00124_952"	"noise"	0	0.5	116	0.642	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.39	0	0.002	0.042	0	0.008	0.012	0.008	0.104	0	0.004	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.01	0.01	0.016	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.39	0.708284872326565	""	""	1	924.952	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00129_950"	"noise"	0	0.5	120	0.67	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.044	0	0.006	0.008	0.008	0.11	0	0.008	0.004	0.006	0.08	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.712655882836711	""	""	1	929.95	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00134_949"	"noise"	0	0.5	111	0.538	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.012	0	0	0.006	0	0	0.002	0	0.028	0	0.406	0	0.002	0.04	0	0.006	0.012	0.008	0.094	0	0.004	0.004	0.01	0.076	0.004	0	0.006	0	0	0	0.03	0	0	0	0.002	0	0	0	0.018	0	0.01	0.01	0.008	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.406	0.742129225444873	""	""	1	934.949	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00139_947"	"noise"	0	0.5	113	0.582	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.04	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0	0	0.006	0	0.012	0	0	0.004	0	0	0.002	0	0.028	0	0.398	0	0.002	0.04	0	0.008	0.012	0.008	0.106	0	0.004	0.004	0.01	0.076	0.004	0	0.006	0	0	0	0.03	0	0	0	0.002	0	0	0	0.014	0	0.01	0.01	0.008	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.398	0.725531247164019	""	""	1	939.947	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00144_945"	"noise"	0	0.5	138	0.708	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.044	0	0.004	0.008	0.008	0.102	0	0.01	0.004	0.006	0.086	0.004	0	0.008	0	0	0	0.04	0	0	0	0.002	0	0	0	0.008	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.046	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.703874999496456	""	""	1	944.945	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00149_943"	"noise"	0.1	0.5	204	0.778	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0	0.002	0	0.004	0	0.008	0	0	0.004	0	0	0	0	0.026	0	0.38	0	0.002	0.044	0	0.002	0.01	0.008	0.084	0	0.014	0.004	0.008	0.078	0.004	0	0.008	0	0	0	0.034	0	0	0	0	0	0	0	0.008	0	0.008	0.01	0.018	0.006	0.004	0.01	0.004	0.052	0	0	0	0.002	0	0	0.002	"noise"	0.38	0.685857039399756	""	""	1	949.943	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00154_941"	"noise"	0	0.5	135	0.672	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0	0.002	0	0.006	0	0.008	0	0	0.004	0	0	0.002	0	0.028	0	0.388	0	0.002	0.044	0	0.004	0.008	0.008	0.11	0	0.008	0.004	0.006	0.084	0.004	0	0.008	0	0	0	0.04	0	0	0	0.002	0	0	0	0.01	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.044	0	0	0	0.002	0	0	0.002	"noise"	0.388	0.703874999496456	""	""	1	954.941	"noise"	0
"Cir90-2007-Pass2-Tron1-Chiro_0_00159_939"	"noise"	0	0.5	121	0.66	""	""	""	""	""	"58178283460bba000e523917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.002	0	0.006	0	0.01	0	0	0.004	0	0	0.002	0	0.028	0	0.392	0	0.002	0.042	0	0.006	0.008	0.008	0.106	0	0.004	0.004	0.008	0.08	0.004	0	0.008	0	0	0	0.036	0	0	0	0.002	0	0	0	0.012	0	0.008	0.01	0.014	0.006	0.004	0.01	0.004	0.048	0	0	0	0.002	0	0	0.002	"noise"	0.392	0.712655882836711	""	""	1	959.939	"noise"	0
